월,요일,시간대,역명,mean,std
1월,금요일,22-23시,서대전네거리,37.7,10.2432
1월,금요일,22-23시,시청,69.34,41.6864
1월,금요일,22-23시,신흥,12.48,9.3034
1월,금요일,22-23시,오룡,19.23,8.3169
1월,금요일,22-23시,용문,34.76,7.3687
1월,금요일,22-23시,월드컵경기장,13.93,7.1505
1월,금요일,22-23시,월평,23.21,8.0015
1월,금요일,22-23시,유성온천,70.37,20.5407
1월,금요일,22-23시,정부청사,30.85,5.3163
1월,금요일,22-23시,중구청,9.0,1.6186
1월,금요일,22-23시,중앙로,40.72,20.0322
1월,금요일,22-23시,지족,13.7,6.5761
1월,금요일,22-23시,탄방,29.8,10.5937
1월,금요일,22-23시,판암,24.56,16.7556
1월,금요일,22-23시,현충원,9.08,6.3692
1월,금요일,23-00시,갈마,14.85,7.0629
1월,금요일,23-00시,갑천,3.43,2.2036
1월,금요일,23-00시,구암,7.3,3.5653
1월,금요일,23-00시,노은,19.14,4.667
1월,금요일,23-00시,대동,15.08,9.5021
1월,금요일,23-00시,대전,23.49,12.9664
1월,금요일,23-00시,반석,31.01,7.9
1월,금요일,23-00시,서대전네거리,20.54,3.8871
1월,금요일,23-00시,시청,31.05,12.706
1월,금요일,23-00시,신흥,6.95,5.3029
1월,금요일,23-00시,오룡,10.8,6.0325
1월,금요일,23-00시,용문,21.94,5.0204
1월,금요일,23-00시,월드컵경기장,8.4,6.4838
1월,금요일,23-00시,월평,16.68,7.9791
1월,금요일,23-00시,유성온천,43.43,7.8971
1월,금요일,23-00시,정부청사,13.2,2.4336
1월,금요일,23-00시,중구청,5.6,1.7474
1월,금요일,23-00시,중앙로,25.07,14.387
1월,금요일,23-00시,지족,8.7,4.774
1월,금요일,23-00시,탄방,11.97,3.1718
1월,금요일,23-00시,판암,10.15,6.5641
1월,금요일,23-00시,현충원,4.11,3.3408
1월,목요일,05-06시,갈마,8.49,5.3933
1월,목요일,05-06시,갑천,1.63,1.2139
1월,목요일,05-06시,구암,4.79,3.5372
1월,목요일,05-06시,노은,4.87,2.7105
1월,목요일,05-06시,대동,9.46,6.823
1월,목요일,05-06시,대전,12.7,9.8191
1월,목요일,05-06시,반석,9.28,3.3283
1월,목요일,05-06시,서대전네거리,11.08,7.1363
1월,목요일,05-06시,시청,8.87,3.2052
1월,목요일,05-06시,신흥,5.59,5.0322
1월,목요일,05-06시,오룡,6.99,5.8413
1월,목요일,05-06시,용문,10.99,7.659
1월,목요일,05-06시,월드컵경기장,3.5,1.7185
1월,목요일,05-06시,월평,6.7,4.73
1월,목요일,05-06시,유성온천,13.67,4.341
1월,목요일,05-06시,정부청사,10.25,6.2546
1월,목요일,05-06시,중구청,3.55,0.9891
1월,목요일,05-06시,중앙로,4.47,1.1235
1월,목요일,05-06시,지족,3.52,1.6969
1월,목요일,05-06시,탄방,6.76,1.4607
1월,목요일,05-06시,판암,9.63,8.362
1월,목요일,05-06시,현충원,1.59,1.0837
1월,목요일,06-07시,갈마,14.01,9.4824
1월,목요일,06-07시,갑천,4.53,2.3641
1월,목요일,06-07시,구암,11.53,5.8948
1월,목요일,06-07시,노은,10.81,6.0134
1월,목요일,06-07시,대동,15.89,13.5706
1월,목요일,06-07시,대전,40.88,26.812
1월,목요일,06-07시,반석,29.83,11.9145
1월,목요일,06-07시,서대전네거리,19.96,10.4412
1월,목요일,06-07시,시청,22.28,10.6897
1월,목요일,06-07시,신흥,8.96,7.4868
1월,목요일,06-07시,오룡,15.01,8.7637
1월,목요일,06-07시,용문,27.26,12.0919
1월,목요일,06-07시,월드컵경기장,9.57,4.8829
1월,목요일,06-07시,월평,12.4,8.7879
1월,목요일,06-07시,유성온천,33.53,14.8215
1월,목요일,06-07시,정부청사,22.98,13.756
1월,목요일,06-07시,중구청,8.76,3.0405
1월,목요일,06-07시,중앙로,8.74,3.0171
1월,목요일,06-07시,지족,8.16,3.143
1월,목요일,06-07시,탄방,18.76,6.0004
1월,목요일,06-07시,판암,18.79,13.3159
1월,목요일,06-07시,현충원,5.05,2.2227
1월,목요일,07-08시,갈마,28.83,24.2648
1월,목요일,07-08시,갑천,11.12,7.2717
1월,목요일,07-08시,구암,26.45,13.7526
1월,목요일,07-08시,노은,38.01,19.1944
1월,목요일,07-08시,대동,45.39,34.0661
1월,목요일,07-08시,대전,100.22,49.1017
1월,목요일,07-08시,반석,104.25,64.1955
1월,목요일,07-08시,서대전네거리,54.19,31.9624
1월,목요일,07-08시,시청,60.82,39.4121
1월,목요일,07-08시,신흥,28.45,26.845
1월,목요일,07-08시,오룡,41.58,27.2662
1월,목요일,07-08시,용문,56.36,33.0536
1월,목요일,07-08시,월드컵경기장,30.53,16.184
1월,목요일,07-08시,월평,29.36,18.5859
1월,목요일,07-08시,유성온천,84.98,50.3164
1월,목요일,07-08시,정부청사,65.92,46.2288
1월,목요일,07-08시,중구청,25.51,11.6326
1월,목요일,07-08시,중앙로,24.87,9.9124
1월,목요일,07-08시,지족,23.08,11.3164
1월,목요일,07-08시,탄방,44.03,19.9742
1월,목요일,07-08시,판암,49.71,38.805
1월,목요일,07-08시,현충원,16.03,9.9674
1월,목요일,08-09시,갈마,52.77,41.8013
1월,목요일,08-09시,갑천,27.19,15.9081
1월,목요일,08-09시,구암,56.34,31.8932
1월,목요일,08-09시,노은,70.44,37.1902
1월,목요일,08-09시,대동,78.77,53.7462
1월,목요일,08-09시,대전,145.45,60.3436
1월,목요일,08-09시,반석,154.06,90.8291
1월,목요일,08-09시,서대전네거리,124.77,61.7773
1월,목요일,08-09시,시청,195.68,176.2516
1월,목요일,08-09시,신흥,40.29,35.223
1월,목요일,08-09시,오룡,117.22,58.809
1월,목요일,08-09시,용문,138.73,84.8526
1월,목요일,08-09시,월드컵경기장,59.59,34.5472
1월,목요일,08-09시,월평,69.34,40.1852
1월,목요일,08-09시,유성온천,183.1,99.1619
1월,목요일,08-09시,정부청사,233.59,231.069
1월,목요일,08-09시,중구청,68.98,45.7399
1월,목요일,08-09시,중앙로,89.24,57.6734
1월,목요일,08-09시,지족,72.67,49.6904
1월,목요일,08-09시,탄방,133.48,89.1445
1월,목요일,08-09시,판암,81.25,52.2346
1월,목요일,08-09시,현충원,37.31,22.1473
1월,목요일,09-10시,갈마,28.33,14.8835
1월,목요일,09-10시,갑천,12.6,6.133
1월,목요일,09-10시,구암,28.52,9.0376
1월,목요일,09-10시,노은,45.79,17.8858
1월,목요일,09-10시,대동,34.88,19.2673
1월,목요일,09-10시,대전,114.46,32.7159
1월,목요일,09-10시,반석,69.39,33.3916
1월,목요일,09-10시,서대전네거리,56.96,20.2047
1월,목요일,09-10시,시청,91.23,68.976
1월,목요일,09-10시,신흥,18.17,12.8749
1월,목요일,09-10시,오룡,41.32,17.6268
1월,목요일,09-10시,용문,69.91,24.648
1월,목요일,09-10시,월드컵경기장,25.85,9.9357
1월,목요일,09-10시,월평,33.57,13.2704
1월,목요일,09-10시,유성온천,90.61,28.2872
1월,목요일,09-10시,정부청사,78.0,51.8654
1월,목요일,09-10시,중구청,25.84,13.7354
1월,목요일,09-10시,중앙로,48.96,26.3737
1월,목요일,09-10시,지족,24.13,10.1819
1월,목요일,09-10시,탄방,53.66,26.502
1월,목요일,09-10시,판암,35.75,19.9282
1월,목요일,09-10시,현충원,19.93,6.7256
1월,목요일,10-11시,갈마,22.4,7.5659
1월,목요일,10-11시,갑천,7.53,2.3509
1월,목요일,10-11시,구암,28.52,7.1398
1월,목요일,10-11시,노은,36.87,10.282
1월,목요일,10-11시,대동,27.94,12.5545
1월,목요일,10-11시,대전,124.1,27.257
1월,목요일,10-11시,반석,51.14,21.5117
1월,목요일,10-11시,서대전네거리,50.16,16.0314
1월,목요일,10-11시,시청,60.43,26.0995
1월,목요일,10-11시,신흥,13.71,6.0254
1월,목요일,10-11시,오룡,28.56,9.934
1월,목요일,10-11시,용문,56.08,17.0363
1월,목요일,10-11시,월드컵경기장,20.68,8.1209
1월,목요일,10-11시,월평,27.41,6.4395
1월,목요일,10-11시,유성온천,81.58,17.4212
1월,목요일,10-11시,정부청사,49.87,18.9881
1월,목요일,10-11시,중구청,20.3,6.0104
1월,목요일,10-11시,중앙로,50.71,25.9666
1월,목요일,10-11시,지족,15.04,5.3848
1월,목요일,10-11시,탄방,36.43,10.595
1월,목요일,10-11시,판암,33.35,13.9964
1월,목요일,10-11시,현충원,19.1,4.5038
1월,목요일,11-12시,갈마,27.31,7.0839
1월,목요일,11-12시,갑천,7.33,1.5297
1월,목요일,11-12시,구암,33.29,9.1211
1월,목요일,11-12시,노은,37.08,9.1119
1월,목요일,11-12시,대동,29.35,9.2302
1월,목요일,11-12시,대전,131.89,27.0887
1월,목요일,11-12시,반석,52.32,13.5812
1월,목요일,11-12시,서대전네거리,54.02,16.0259
1월,목요일,11-12시,시청,66.01,22.0914
1월,목요일,11-12시,신흥,13.65,3.9775
